index,standalone_delta_chi2,after_cpl_delta_chi2
0,0.038279998833530726,0.14761303051895425
1,2.432037932306571,0.003490186645827009
2,1.3322597494491717,0.08438623283966251
3,0.025008848148061702,1.6569805314428798
4,2.0861732683680394,1.0052552192326871
5,0.695702457037612,0.12560813440826024
6,3.319045586093168,1.3335071545013868
7,3.0936881225087838,0.0413696263021599
8,10.487985624451042,3.200260110086063
9,2.499690005496717,0.68384459892021
10,0.2896026192669119,0.005238020901316531
11,2.6546366050905412,1.55687367454372
12,2.881017021454227,3.457256690347048
13,4.646474657057613,0.4377793932483378
14,2.884710739176196,2.8067377049288353
15,11.29020789819295,3.782365557050266
16,0.031284003632436,0.2759684207269011
17,0.6787443786512419,2.460913707563943
18,0.01719989639556374,1.667452215287316
19,2.262389032505812,1.648424616992763
20,4.51839352305365,0.3654450414844135
21,2.1453159323662625,2.32401329320939
22,0.7113583874859764,2.1952090632004335
23,3.217142007170338,1.8753275418011768
24,8.935770754671463,1.5888773900756448
25,0.17954735765453833,1.2897724762162674
26,0.23529192302582658,0.0973248962669615
27,12.433060626782293,5.033732004633471
28,1.2286662571948241,0.6578754268813327
29,1.340467194120098,0.011479757179362338
30,9.331184161489844,1.8111986592363358
31,0.12202936423363653,1.1075672049450276
32,0.04729135514324412,1.1246840729209602
33,4.990596105118431,0.9040796876454387
34,0.11296494151496006,2.8549064465693164
35,3.8352908687369514,2.8458432866918706
36,1.1518970509813613,2.2732573953919584
37,0.1860687574712152,2.1194146636083246
38,0.5559306809603655,0.002894881392563775
39,0.4944128767628797,1.1004418498375443
40,1.035377419036429,0.3150247978797829
41,1.3865864244846406,2.07939003219888
42,5.415198914271933,0.41164902913256896
43,3.4172123284232363,0.8976423517480185
44,3.5327390954116034,0.14063027215692614
45,2.92274902737746,0.372077128893352
46,0.2512132309219339,2.7551698096130472
47,2.535586387035334,2.157091738275536
48,0.9713982521187248,2.653882624666597
49,4.625153096071699e-05,3.29727778034966
50,0.5515597670239067,2.593527396596336
51,4.4566659780651605,0.37507233615292535
52,1.4920974873117672,0.09812216595241807
53,4.282707240472689,0.8933883298879941
54,0.16363735811433955,4.5733348093971955
55,1.1898044515805068,0.5433370439076484
56,0.03495306656441244,1.7197122986468436
57,1.7929596052302657,1.570047375038282
58,0.00039711928441121813,0.01887030531551659
59,2.2867917746237154,0.027649410689523535
60,5.539235065384986,0.005349938083263339
61,1.0694586035494176,0.6187223960342187
62,0.8601582095553439,1.287041969214414
63,2.7496293455628873,4.122656212022793
64,0.0012643939811702865,1.6731890630467312
65,3.4989610375039177,1.7285971262066369
66,2.0793743416470427,1.2723729902529293
67,0.04007285226445845,2.739948318784922
68,0.07730412668619735,1.6346258367165163
69,0.250380490533022,1.1320757086191335
70,2.9489304591161734,0.09387645380116183
71,0.5260394121046197,0.3321021356605023
72,2.2006950481499423,1.00915218601234
73,2.3267692371187287,0.09151038056819516
74,1.0468520960556873,0.6831850429079473
75,11.185387880074,3.831895584311251
76,1.3592100870821966,0.967806788784948
77,4.439560147772447,0.30755631164300823
78,2.8083876453135765,1.705341454928611
79,2.5580093412810996,1.872103122405246
80,0.00801280767500856,0.03364872640481309
81,0.01038851590328349,3.922930778335786
82,1.276529559100208,0.007729216738614042
83,1.071623731485893,2.125488783702263
84,0.06764006763376784,4.71432568247662
85,1.1008812233834746,0.07409582264485692
86,0.3001563514286545,1.5419006682637537
87,7.629195874477897,8.986820750404839
88,0.05971039650947674,0.13757142261834332
89,0.06381050975223701,0.8891630745404591
90,0.00276557309616976,1.6428773365280378
91,5.766209375337706,6.621014101418714
92,9.100061619133815,1.5800751444008654
93,0.07632578374451526,1.7843763847846255
94,3.659049838964389,2.114984892164511
95,3.5839698201844143,2.2769492223436885
96,3.917163300569122,2.8686021070780185
97,0.27736369815533735,5.413978985578421
98,7.793765124240597,0.9081092863785507
99,0.000376375449185673,1.1667217590624723
100,7.1572935359575105,0.4405813077854681
101,5.901616620107237,0.07961513873933157
102,4.455253128413002,6.5993536330857765
103,0.7932777511609892,5.353777624414274
104,5.651885282639274,0.027014482971576825
105,11.313268861139697,4.7585649033319015
106,2.938107312214399,6.018636362715059
107,1.317150561519128,2.411055706566419
108,0.1784640698662301,1.1280038213456614
109,4.116239974597239,6.574097852154953
110,0.006966977373934924,0.9979638403556947
111,0.321492151775157,0.044382673404971484
112,1.6658616184745831,5.72811817633789
113,1.4884125510795059,1.2793559226188798
114,8.08111989977348,2.6886458238784634
115,5.110865766740119,0.4935811078850385
116,8.146706934046485,1.3337398772497373
117,0.5046611475944438,0.8714101579007476
118,0.4813424649133822,0.27921203739278155
119,0.32405717976751447,3.9159212749027184
120,0.7861232693008944,0.26126218499954135
121,0.00013698223459712722,0.9057271300241041
122,0.31315515278275896,2.4018276724233196
123,8.995269606153926,1.5775596429992227
124,6.0053112316099515,8.099397031254517
125,1.3546129272376142,4.668258202087095
126,11.558181087512832,5.619723057086128
127,0.0035981976687082806,3.7806958407856186
128,2.051168508287322,0.23093166320150615
129,0.00027837230316762884,3.273310050187799
130,1.4354838207531309,3.1014832026847365
131,0.12978451464627483,0.9195386594039583
132,6.892491219575714,0.5656860149114529
133,0.013693549315799913,0.6386868559534271
134,0.5698191493504936,0.5166150422770954
135,0.4444279791375436,0.24372655390002862
136,0.15904046962568685,1.747993057042546
137,1.3653310525733957,0.4626640906247168
138,0.1451699935080626,3.046927998088673
139,0.21823102351041612,2.2585192488624806
140,0.059223832743406035,1.7917479803915057
141,2.92060723248656,3.147898540217966
142,2.3604347322844212,0.5011272260178465
143,5.967564149650411,6.457069262599459
144,0.46152483907472686,3.938815377226316
145,4.1959453751513,0.00907595694103236
146,1.0609790159865895,1.8034739005364564
147,3.380979762555693,0.8227373904723834
148,1.6868785577098677,0.16449978543582233
149,0.0987950361974228,1.563344866796644
150,0.5156632352349391,0.9721706672981547
151,6.137193759275718,0.23095225498416738
152,0.13845345490038596,1.1963318243844938
153,0.8562853534857204,0.19223025598330068
154,1.2877330156582225,1.1590073957266753
155,0.6091337747930972,0.8291106822562
156,9.072865865063125,1.7203806773634618
157,0.4594175190087135,0.1812820641005537
158,0.4782450986205369,2.1770173936133332
159,0.1602368136080763,2.462937392633158
160,1.042170482830521,3.4347459992356946
161,9.039265876460448,1.8587833549478425
162,0.47436044638521935,1.2341288280195286
163,8.357223993949365,1.3386701723346448
164,0.2668786857014851,0.01909173924548213
165,6.276670035242322,0.04268499569913331
166,0.027647654642340314,3.562779886193379
167,1.7389769051155923,2.0530055802872624
168,2.3496243512953257,0.24651070209813497
169,6.470574162530507,0.294539605967973
170,2.4588612215560524,0.11757634402814787
171,1.95075018103703,2.03923203234325
172,8.214077727441055,0.8028566437628974
173,0.004692756878483806,0.16734731653322044
174,1.933634672483187,3.837754282674126
175,2.7677121565084484,1.0671974817798997
176,0.9213720467219666,0.6856004002909586
177,2.4016434957187265,3.397354886851673
178,1.892948534003441,0.4131127044904943
179,0.04780018431416977,1.6764976145774035
180,2.843659905740246,1.679084102978539
181,1.3192706930490665,0.13428924038842283
182,0.5728077381713419,2.789859138143477
183,2.1027765341281643,4.258494815324095
184,0.04050135822201284,0.033007122508671216
185,2.2604438620426244,4.427814564178647
186,0.6972971992941659,1.076278191578588
187,0.8690009054284715,3.3278372053834175
188,0.007752836420163334,1.8392077013156793
189,3.2227184666036806,0.5004701310757085
190,0.0037589846853869346,3.7676688481535905
191,1.6875119421104046,2.3117698418379504
192,4.314198150541742,0.3266880913811896
193,7.205804690893036,1.54642671933113
194,0.16632903607369443,4.0998373261332866
195,2.6287442931322644,6.181825065947505
196,0.08239209913150702,1.0294568957361285
197,1.7326520826537148,1.6223807845518792
198,0.7757525113004533,0.9795621860709467
199,3.268795364164827,0.03396244719618835
